iPad 9th Gen (WiFi) : iPad12,1 : j181ap
iPad 9th Gen (WiFi+Cellular) : iPad12,2 : j182ap
iPad mini 6th Gen (WiFi) : iPad14,1 : j310ap
iPad mini 6th Gen (WiFi+Cellular) : iPad14,2 : j311ap
iPad Air 4th Gen (WiFi) : iPad13,1 : j307ap
iPad Air 4th Gen (WiFi+Cellular) : iPad13,2 : j308ap
iPad Pro 11 inch 5th Gen : iPad13,4 : j517ap
iPad Pro 11 inch 5th Gen : iPad13,5 : j517xap
iPad Pro 11 inch 5th Gen : iPad13,6 : j518ap
iPad Pro 11 inch 5th Gen : iPad13,7 : j518xap
iPad Pro 12.9 inch 5th Gen : iPad13,8 : j522ap
iPad Pro 12.9 inch 5th Gen : iPad13,9 : j522xap
iPad Pro 12.9 inch 5th Gen : iPad13,10 : j523ap
iPad Pro 12.9 inch 5th Gen : iPad13,11 : j523xap
Apple Watch 38mm case : Watch1,1 : n27aap
Apple Watch 42mm case : Watch1,2 : n28aap
Apple Watch Series 1 38mm case : Watch2,6 : n27dap
Apple Watch Series 1 42mm case : Watch2,7 : n28dap
Apple Watch Series 2 38mm case : Watch2,3 : n74ap
Apple Watch Series 2 42mm case : Watch2,4 : n755ap
Apple Watch Series 3 38mm case (GPS+Cellular) : Watch3,1 : n111sap
Apple Watch Series 3 42mm case (GPS+Cellular) : Watch3,2 : n111bap
Apple Watch Series 3 38mm case (GPS) : Watch3,3 : n121sap
Apple Watch Series 3 42mm case (GPS) : Watch3,4 : n121bap
Apple Watch Series 4 40mm case (GPS) : Watch4,1 : n131sap
Apple Watch Series 4 44mm case (GPS) : Watch4,2 : n131bap
Apple Watch Series 4 40mm case (GPS+Cellular) : Watch4,3 : n141sap
Apple Watch Series 4 44mm case (GPS+Cellular) : Watch4,4 : n141bap
Apple Watch Series 5 40mm case (GPS) : Watch5,1 : n144sap
Apple Watch Series 5 44mm case (GPS) : Watch5,2 : n144bap
Apple Watch Series 5 40mm case (GPS+Cellular) : Watch5,3 : n146sap
Apple Watch Series 5 44mm case (GPS+Cellular) : Watch5,4 : n146bap
Apple Watch SE 40mm case (GPS) : Watch5,9 : n140sap
Apple Watch SE 44mm case (GPS) : Watch5,10 : n140bap
Apple Watch SE 40mm case (GPS+Cellular) : Watch5,11 : n142sap
Apple Watch SE 44mm case (GPS+Cellular) : Watch5,12 : n142bap
Apple Watch Series 6 40mm case (GPS) : Watch6,1 : n157sap
Apple Watch Series 6 44mm case (GPS) : Watch6,2 : n157bap
Apple Watch Series 6 40mm case (GPS+Cellular) : Watch6,3 : n158sap
Apple Watch Series 6 44mm case (GPS+Cellular) : Watch6,4 : n158bap
Apple Watch Series 7 41mm case (GPS) : Watch6,6 : n187sap
Apple Watch Series 7 45mm case (GPS) : Watch6,7 : n187bap
Apple Watch Series 7 41mm case (GPS+Cellular) : Watch6,8 : n188sap
Apple Watch Series 7 45mm case (GPS+Cellular) : Watch6,9 : n188bap
